session_test_id,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
tts_random,sentence31,efficient_tts,42,32510,
tts_random,sentence31,reference,100,32510,
tts_random,sentence31,tacotron_2,75,32510,
tts_random,sentence31,deep_voice,67,32510,
tts_random,sentence42,tacotron_2,81,43380,
tts_random,sentence42,efficient_tts,62,43380,
tts_random,sentence42,deep_voice,70,43380,
tts_random,sentence42,reference,83,43380,
tts_random,sentence36,deep_voice,69,26036,
tts_random,sentence36,efficient_tts,48,26036,
tts_random,sentence36,tacotron_2,81,26036,
tts_random,sentence36,reference,100,26036,
tts_random,sentence69,tacotron_2,71,38688,
tts_random,sentence69,deep_voice,70,38688,
tts_random,sentence69,efficient_tts,55,38688,
tts_random,sentence69,reference,100,38688,
tts_random,sentence51,reference,100,25797,
tts_random,sentence51,tacotron_2,67,25797,
tts_random,sentence51,deep_voice,67,25797,
tts_random,sentence51,efficient_tts,57,25797,
tts_random,sentence7,tacotron_2,77,48761,
tts_random,sentence7,deep_voice,71,48761,
tts_random,sentence7,efficient_tts,62,48761,
tts_random,sentence7,reference,100,48761,
tts_random,sentence68,deep_voice,73,31521,
tts_random,sentence68,efficient_tts,53,31521,
tts_random,sentence68,tacotron_2,81,31521,
tts_random,sentence68,reference,100,31521,
tts_random,sentence78,tacotron_2,68,29268,
tts_random,sentence78,efficient_tts,52,29268,
tts_random,sentence78,deep_voice,81,29268,
tts_random,sentence78,reference,100,29268,
tts_random,sentence21,deep_voice,73,29746,
tts_random,sentence21,reference,100,29746,
tts_random,sentence21,tacotron_2,91,29746,
tts_random,sentence21,efficient_tts,81,29746,
tts_random,sentence89,deep_voice,63,32258,
tts_random,sentence89,efficient_tts,51,32258,
tts_random,sentence89,reference,100,32258,
tts_random,sentence89,tacotron_2,83,32258,
